timestamp,fund_date,shares_outstanding,fund_cash_component,shares_amount_near_future,shares_amount_far_future,near_future,far_future
202502271203,20250227.0,860000.0,761921232.0,183,49,VXH5,VXJ5
202503010503,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503010516,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503010530,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503010548,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503010555,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503011101,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503011107,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020055,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020116,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020131,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020338,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020410,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020417,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020430,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503020532,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503022334,20250228.0,720000.0,628124809.0,123,44,VXH5,VXJ5
202503030532,20250303.0,520000.0,481899415.0,114,53,VXH5,VXJ5
202503040532,20250304.0,520000.0,473292241.0,85,49,VXH5,VXJ5
202503050532,20250305.0,420000.0,412666275.0,78,57,VXH5,VXJ5
202503060532,20250306.0,420000.0,424199608.0,71,64,VXH5,VXJ5
202503070532,20250307.0,420000.0,401972437.0,64,71,VXH5,VXJ5
202503080527,20250307.0,420000.0,401972437.0,64,71,VXH5,VXJ5
202503090526,20250307.0,420000.0,401972437.0,64,71,VXH5,VXJ5
202503100527,20250310.0,420000.0,444221999.0,57,78,VXH5,VXJ5
202503110532,20250311.0,420000.0,420382955.0,50,85,VXH5,VXJ5
202503120532,20250312.0,420000.0,467665258.0,43,93,VXH5,VXJ5
202503130532,20250313.0,420000.0,469853463.0,33,91,VXH5,VXJ5
202503140532,20250314.0,380000.0,403854644.0,26,98,VXH5,VXJ5
202503150531,20250314.0,380000.0,403854644.0,26,98,VXH5,VXJ5
202503160530,20250314.0,380000.0,403854644.0,26,98,VXH5,VXJ5
202503170532,20250317.0,380000.0,422349939.0,18,94,VXH5,VXJ5
202503180532,20250318.0,340000.0,343927477.0,12,100,VXH5,VXJ5
202503190532,20250319.0,340000.0,332752267.0,6,106,VXH5,VXJ5
202503200532,20250321.0,340000.0,342014157.0,148,0,VXJ5,
202503210532,20250321.0,340000.0,342014157.0,148,0,VXJ5,
202503220532,20250321.0,340000.0,342014157.0,148,0,VXJ5,
202503230531,20250321.0,340000.0,342014157.0,148,0,VXJ5,
202503240533,20250324.0,450000.0,426974140.0,134,14,VXJ5,VXK5
202503250533,20250325.0,450000.0,429554855.0,137,23,VXJ5,VXK5
202503260532,20250326.0,490000.0,439784008.0,141,33,VXJ5,VXK5
202503270532,20250327.0,530000.0,477114254.0,132,41,VXJ5,VXK5
202503280534,20250328.0,530000.0,494012112.0,138,55,VXJ5,VXK5
202503290531,20250328.0,530000.0,494012112.0,138,55,VXJ5,VXK5
202503300531,20250328.0,530000.0,494012112.0,138,55,VXJ5,VXK5
202503310533,20250331.0,590000.0,554618570.0,159,79,VXJ5,VXK5
202504010533,20250401.0,730000.0,743043585.0,180,111,VXJ5,VXK5
202504020534,20250402.0,890000.0,902877292.0,245,184,VXJ5,VXK5
202504030533,20250403.0,1310000.0,1331402127.0,225,204,VXJ5,VXK5
202504040533,20250404.0,1310000.0,1274577954.0,224,246,VXJ5,VXK5
202504050532,20250404.0,1310000.0,1274577954.0,224,246,VXJ5,VXK5
202504060531,20250404.0,1310000.0,1274577954.0,224,246,VXJ5,VXK5
202504070533,20250407.0,1430000.0,1727322377.0,204,272,VXJ5,VXK5
202504080533,20250408.0,1450000.0,2103050546.0,170,277,VXJ5,VXK5
202504090533,20250409.0,1350000.0,1987246371.0,150,300,VXJ5,VXK5
202504100533,20250410.0,1350000.0,2226568874.0,90,224,VXJ5,VXK5
202504110535,20250411.0,930000.0,1207416841.0,66,213,VXJ5,VXK5
202504120531,20250411.0,930000.0,1207416841.0,66,213,VXJ5,VXK5
202504130537,20250411.0,930000.0,1207416841.0,66,213,VXJ5,VXK5
202504140534,20250414.0,820000.0,1251130210.0,53,227,VXJ5,VXK5
202504150533,20250415.0,820000.0,1207454078.0,31,181,VXJ5,VXK5
202504160533,20250416.0,610000.0,796043018.0,21,206,VXJ5,VXK5
202504170533,20250417.0,650000.0,837370962.0,11,217,VXJ5,VXK5
